date,IntelPriceUSD,IntelTotalReturnUSD,retLag1,retLag2,retLag3,retLag4,retLag5,volume,priceImpact,Energy,Material,Industrial,ConsDisc,ConsStap,HealthCare,Fin,IT,Telecom,Util
1995-05-19,111.375,0.005643341,0,0.017221584,0.00461361,-0.002879803,-0.005144165,9143000,5.54E-06,-0.008183417,-0.001167064,-0.005373367,0.001443963,0.003285842,0.006875528,-0.004930122,-0.001982026,0.003571635,-0.000850309
1995-05-22,114,0.023569024,0.005643341,0,0.017221584,0.00461361,-0.002879803,6448000,3.21E-05,0.004308869,0.004270776,0.010145804,0.007393373,0.00682648,0.004761644,0.009923324,0.016291723,0.011310928,0.003249814
1995-05-23,116.5,0.021929825,0.023569024,0.005643341,0,0.017221584,0.00461361,7639000,2.46E-05,0.009682751,0.014079409,0.004766839,0.005832258,0.008611259,0.009668929,0.01156826,0.024904225,-0.005294293,0.002376361
1995-05-24,116.25,-0.002145923,0.021929825,0.023569024,0.005643341,0,0.017221584,8688000,2.12E-06,0.003453342,0.001082979,-0.002496479,-0.006139174,0.003248599,0.008069605,0.006609749,-0.008321451,-0.008742326,0.001699484
1995-05-25,117.5,0.010752688,-0.002145923,0.021929825,0.023569024,0.005643341,0,5320000,1.72E-05,-0.000585846,-0.010598048,-0.005823255,-0.003532529,0.004761912,0.006338064,-0.003603332,0.003053,0.002424639,0.01801887
1995-05-26,115.875,-0.013829787,0.010752688,-0.002145923,0.021929825,0.023569024,0.005643341,3606000,3.31E-05,-0.012497425,-0.007478871,-0.009169245,-0.004310226,-0.007878277,-0.007459274,-0.006969101,-0.018453768,-0.009428977,-0.001860341
1995-05-30,110.5,-0.046386192,-0.013829787,0.010752688,-0.002145923,0.021929825,0.023569024,15147000,2.77E-05,0.006232969,-0.001298154,0.000964904,0.001584601,0.004913129,-0.000108121,0.001067925,-0.035710583,0.010792483,0.010106492
1995-05-31,112.25,0.015837104,-0.046386192,-0.013829787,0.010752688,-0.002145923,0.021929825,10227000,1.38E-05,1.34E-02,0.010453486,0.016344285,0.018196938,0.023374362,0.019865312,0.015643933,0.013606671,0.020469342,0.014818509
1995-06-01,114.75,0.022271715,0.015837104,-0.046386192,-0.013829787,0.010752688,-0.002145923,7335000,2.65E-05,-2.60E-05,0.002538001,-0.000963581,-0.000804621,-0.006355115,0.003574763,0.003720575,0.015093401,-0.005037663,-0.005056562
1995-06-02,116.5,0.015250545,0.022271715,0.015837104,-0.046386192,-0.013829787,0.010752688,7520000,1.74E-05,-0.009116225,-0.012461194,-0.00955254,-0.003033435,-0.001192452,0.000734116,0.015398301,0.002524179,-0.002218757,0.007857566
1995-06-05,115.75,-0.006437768,0.015250545,0.022271715,0.015837104,-0.046386192,-0.013829787,4851000,1.15E-05,0.00297549,0.007913226,0.010649175,0.008442602,-0.00010595,0.008465808,0.004396542,0.005135853,0.00489849,9.02E-03
1995-06-06,112.375,-0.029157667,-0.006437768,0.015250545,0.022271715,0.015837104,-0.046386192,6032000,4.30E-05,0.000790014,0.005626801,0.001066635,0.001781016,0.000147183,0.005329091,-0.001290013,-0.00999624,-0.003405921,9.93E-05
1995-06-07,113.125,0.006674082,-0.029157667,-0.006437768,0.015250545,0.022271715,0.015837104,7345000,8.03E-06,-0.003172537,0.000487843,-0.001963853,-0.003458133,-1.65E-03,-0.000347773,-0.01228911,0.000169643,-0.009317754,-0.010774865
